,아이디,댓글 내용
750,  안병준,"내가 SG워너비, VOS 를 왜 그리워했는지 이제야 알겠네.이게 가수야. 얼굴, 몸매이쁘고 춤만 잘추는 댄서가 아닌 이게 진짜 가수야. 노래만들어도 힐링되는 이런 경험자체가... 감사합니다"
751,  김소정,행복하고 감사해요워너비가족들
752,  account,바라만본다 해주세요ㅜㅜㅜㅜ
753,  김병수,SG 워너비~   찐 사랑해요^^
754,  고종보,나의 워너비 형들...신곡도 대박 나세요!!!나이스~wow~항상 좋은 노래 들려주세요~~
755,  인터넷카드결제,노래 듣는데 울컥한건 나 뿐인가?
756,  bella,정말 최고의 sg워너비~ 콘서트 가고싶어요 ㅜㅜ
757,  이혜은,우리 이제 이별 안하는거 맞죠??^^ 늘 우리들 곁에 있어주기!! 약속~~♥♥♥
758,  슈거슈가슈,빌어먹을 코로나가 빨리 끝나야 할텐데
759,  용용,하 너무 좋다
760,  펭러뷰,영상 진심으로 감사합니다..
761,  상큼미소0탁,용준씨 화이팅~~
762,  박재준,감사합니다 이런무대 만들어주셔서
763,  김희성,기다렸쟎아요!
764,  지연 조,볼수록 더좋으니 어떡해요ㅠㅠ
765,  김수영,주체할 수 없는 감정! 감사하고 감사합니다!❤️❤️❤️❤️❤️
766,  달려라토마스,진짜 그냥 좋다~♡♡♡
767,  ji soo shin,내사람 떼창 저만 눈물 핑도나요ㅠㅠ찡해
768,  석지웅,0:57 누나도 cd삼켰네 ㄷㄷ
769,  이효진,"이석훈, 김용준, 김진호 나이스👍"
770,  soyeon park,너무 행복해요~ 이렇게 추억하게 해주셔서 감사합니다^^♥♥
771,  wookie studio,20:55초 목청대결 ㅋㅋㅋ
772,  레지옹,역시 소몰이 창법이 제맛이죠 👍
773,  장지만,나이스
774,  ᄏᄏ할루,김용쥰.. 사랑해 ... ❤︎
775,  김시우,박재정 내사람 ㅁㅊ네..
776,  Tina Jung,아 콘서트 너무 가고싶다~~~~
777,  또치,Sg 워너비 버전 노래도 빨리 내놔요....
778,  김수빈,노래해줘서 고마워요 💛 에스지워너비 소중해 🌻 살 안 빼도 귀여워~~
779,  Double J,형들 정말 감사하고 사랑합니다 늘 건강하세요!!ㅜㅜ
780,  펭수짱!!!,5곡 불렀는데 순삭이닷~!!!
781,  밍기적,오늘도 왔다….
782,  권미영,닭되겠네.. 이여름에 닭살이 너무 돋아요....  우리의노래.. 너무 좋은곡 알게 해주셔서  감사하모니카~~~~❤❤❤❤❤아~~~ 너무 좋다😭😭😭😭😭😭😭😭
783,  seung han Ryu,다른 노래들도 너무 좋았지만 와... 우리의노래는 진짜 너~~~~무!! 좋았어요!! 저만 좋았던 것이 아니라는 걸 알려줘서 감사합니다.
784,  ᄒᄉᄒ.,오그라드는 자막 없어서 너무 좋다...ㅠㅠㅠ
785,  Seoki,신곡 좋네
786,  와우와우,유재석이 만든 또하나의 작품
787,  명왕성에사는 여우,밥먹으면서 노래듣고 보다가 울컥했어요ㅜㅜㅠㅠㅠ 😭😭😭
788,  업힐러,너무 좋자나..
789,  늑냥이솜털,너무행복했어요 앞으로도 행복하게해주세오
790,  e ka,또 잊고살던사람 흔드네🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️
791,  Wonsik Kim,sg워너비의 멜로디도 불러줬으면 좋았을텐데 그래도 너무 좋네요 ㅎㅎ 진짜 멜로디 띵곡!
792,  STEVE Byun,인정 ㅜ 근데 명곡 아닌거 찾기가 힘듦ㅋㅋ
793,  Wonsik Kim, @STEVE Byun  전부 다 명곡이긴 하죠 ㅎㅎ
794,  김아름,하...너무좋다❤❤❤
795,  신연정,들으면 들을수록 설레어요.
796,  깜찍이언니,아리랑 👍👍👍
797,  Eungyul Go,잉 ㅠ 너무 좋다 ㅠㅠㅠ♡♡
798,  우리 개는 물어요,바쁘신분들은 00:00초 부터 보시면 됩니당
799,  보아,유스케님! 당장 sg워너비 스페셜 제작하세요!ㅜㅜ맞아요!협박이에요!
800,  에스텔,갓스지워너비는 셋다 너무 출중한 가창력이지만 김진호가 가운데서 중심을 잘 잡아줘서 더 돋보인다고 생각한다. 김진호 무대장악력은 어나더레벨👍👍👍
801,  수호천애,ㅠㅠ 세명 다 넘 좋아~^^♡나의 행복 바이러스~♡♡♡
802,  Good Good,대박 예슐
803,  이얄리짱짱,바라만본다~~~  한번 불러줘용~~~~~~
804,  Yeonjung li,너무 감동이여요. 빅마마. Sg워너비. 넘사벽요.
805,  뭔지알지?,유야호~~~  !
806,  석뿌,꿀잼
807,  서현덕,김태호 피디님 감사합니다
808,  휴지,아니 근데 어째서 죄와벌은 한번 안불러주시는 것임ㅠ
809,  오로라,너무 좋다~~~
810,  정재욱,왜이렇게 급하게 끝내나 했더니 올림픽때문에 3주 결방..... 하...
811,  쿠딩딩,부르는 사람도 보는 사람도 즐거운 영상😁
812,  8 5,너무너무 좋아요😍
813,  ᄏᄏᄏᄏ,내사람 다같이 노래부르는 거 너무 좋네요ㅠㅠㅠ msg와 sg의 케미 너무 좋아요ㅠㅠ
814,  TN IR,they're nice and wow!!!!!!!!!! 💯
815,  정경아,SG워너비 나이스!!!!!
816,  사랑스런 으뉘🤗,유야호~~~~~~🤗
817,  pamelamelatan,The men getting teary-eyed during Our Song hits really hard. Even I was trying to hold my tears back. MSG Wannabe forever! All the love from Salts ❤️
818,  pamelamelatan,"SG Wannabe, it was a pleasure to have met you in the program. Your amazing vocals and songs really touched my heart ❤️"
819,  Autumn Daisy 태국 어텀데이지,우와... 정말 말이 필요없네요..
820,  유희영,노래미쳤다ㅡ오바ㅡㅡㅡㅡㅡ끝나ㅡㅡㅡㅡㅡㅡㅋ
821,  Hwa jung Kim,넘 좋아요😄 노래 자꾸 듣고싶네요~!
822,  아라 정,아 이번 무대에서 가시리 불러주길 바랬는데 ㅠㅠㅠ 옆에서 케이씨엠이랑 같이......
823,  김수현,너무 멋있습니다!!
824,  Sin e,Stay 언제 불러주시나요...ㅠㅠ
825,  다이나마이트love,우리의 노래 듣는데 울컥하네요. MSG/SG워너비 덕분에 행복했어요.  너무 좋은 사람들♡
826,  지완,캬
827,  춘삼엄니,간만에 살맛납니다  다시들어도 행복해지네요 가슴에 없어진줄알았던 뜨거움이 다시 올라와요~~감사합니다~~
828,  이마로,김진호는   노래하려구   가수하려구  태어난사람 ~~wow
829,  윰,나이스!!!
830,  최신세리,슈가맨들이 나왔어 1에는 KCM 3에선 김정민 락커가 쌈디도 슈가맨으로 나왔으면 좋겠는데
831,  Cheng Yuan,너무 너무 좋습니다 !!
832,  mj lee,용준오빠 헤메와 코디 ㅠ.리즈시절 헤어로 해주세요.어려보이게.살 좀더 빼고요.피부관리도 받구요~~
833,  YB L,아침부터 소름돋음
834,  송채연,유느님..!!ㅎㅎ워너비닷.....🦚🌟✈️🌟🌟🌟🌟🌟콘서트~!기대할께요 .👍
835,  임노을,노래 너무너무 좋아요.~^^중간에 울컥하기도 ...ㅋ
836,  곽두팔,아리랑 들으면 가슴이 웅장해짐…
837,  myong myong,이영상 기다리고있었는데 감사합니다
838,  이한규,12:28ㅋㅋㅋㅋㅋㅋ
839,  개구리,역시
840,  ssince2009,대중가요를 듣지 않았던 제가 sg워너비 서쿤님에게 잡혀 sg워너비만 찾아다니고 있네요. 첨부터 수준이 높은 가수 픽을 한 탓에 다른 음악을 듣지 못한다는 단점이 있지만 귀는 여전히 호강한다고 하네요. sg 승승장구하시길 바랍니다. 제 귀가 늘 호강하길 바랍니다^^
841,  JHyeon S,사 랑 해 요 ♥
842,  미닝,덕분에 재미있었어요. 최고👍
843,  으녜으녜,기다렸어요ㅠㅠ역시!!!열일해줘서 고마워요
844,  개라리맘,우리의 노래 듣는데 우는중..
845,  키약,다음엔 밴드로 만들어서버즈도 해주세요ㅠㅜ
846,  JHyeon S,내 사람💯😍
847,  박서연,단체로 내사람 불러줘요.. 너무 좋아요 음원으로  ㄱ ㄱ 진짜 단체로 같이 부를때 왠지 모르게 울컥하고 너무 좋았어요
848,  Lind 99,바라만본다도 불러주세요ㅜ
849,  purple you별빛,방송에서 자주보고싶다~ 신곡도 너무좋앙♡
850,  건빵TV,캬ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ역시 sg워너비
851,  김형대,김진호 개 행복해보이네너무 즐기는거 같다 자신의 세계를저런거 경험해본사람은 무슨말인지 알듯
852,  호호오옵,추억이다ㅜㅠ
853,  양덕팔,아리랑 무대 너무 이뻐요...💚
854,  ㅇㅅㅇ,2:36 샤코
855,  정깨비,대박..대박...너무너무 고마워요
856,  아름다니엘,sg워너비의 짝짝꿍  댄스  세상 귀엽네요 세분이서 많은 활동 하시면서 TV 에도 많이 나오세요  김진호님 장난기 귀여워요  우리의  노래는 제가 첨들어 봤는데 참 뭉클하더라구요
857,  letterz,🤭🤭🤭🤭
858,  ᄆᄆᄆᄆ,내 사랑 울보 기대했는데ㅠㅠㅠ
859,  도프수파,소몰이 등장인가..
860,  김기환,감수성돋네
861,  해바라기,까아아아아~~~sg워너비 노래들려줘서 감사해요 용준 용준 용준 ^^~~~
862,  수미르,유 야!!!
863,  김Jay,김진호 봐라.. 저렇게 신나서 노래부르는데 듣는 사람이 어떻게 안신나게 들을까 정말 국보급가수
864,  mary rose,우리들의 노래가 되어준 msg워너비가 너무나도 그리워질것 같아요 즐겁고 행복하게 해준 그 시간들 소중하게 간직할 겁니다 사랑합니다 모두를 기억합니다☆감동주의보☆
865,  ch-tea,모음집 🙏
866,  엄쏘,17:53 호롷롤 춤추는 강창모님 덕분에 다들 빵터져서 너무 행복하다🥰
867,  동동동,우리의 노래를 왜 이제 알았을까요 가사 한구절 한구절이 와닿아서 뭉클했습니다 갓띵곡🌼
868,  Rudolph NC,아니 해바라기 라이브 음원 따려고 했는데나이스가 웬말이여 ㅋㅋㅋㅋㅋ....
869,  Donghoon Lee,ㅋㅋㅋㅋㅋ
870,  고이퉁쳐,8:54 이걸 보는 내 표정
871,  max chicken,너무 행복한 20분..
872,  duple,조아 진짜
873,  화순,소름돋으러 들어왔다가 부랄까지 탁치고감
874,  민성,동하형이 저 자리에 있었어야 했는데 언제나 그립고 보고싶습니다...
875,  기쁠희희,12:30 아 웃는거 진짜 좋음  ♡ (유부녀인데 유부남 좋아해 나 ㅠㅠ)
876,  내일오늘,넌 좋은사람이 유야호에게 하는말 같이 들리네요~ 너무좋아요
877,  EJ Lee,하아.. 이서쿤 미모 무슨 일이냐! 애 아빠가 저 세상 미모면 어쩌자는거임?
878,  랄라랄라,집안일할때  노동요^^  너무  조으다~  울지노 서쿤 용쭌 사랑합니다!! 울 동하도♡♡♡
879,  고먐미,진짜 세명 목소리합 미쳤다....
880,  So Lim,바라만본다 커버도 부탁드려도 될까요~~~^^*
881,  alley Wall,0:00 부터 하이라이트
882,  피즈치자,유느 사랑해요 감사해요 오래사세요
883,  포퐁니,Sg워너비 x msg워너비 공동콘서트해도 멋있을거같아요 무조건간다😭😭😭😭😭😭
884,  예지니,미친다 김진호…❤️❤️❤️ 3:33 김진호의 나는 천번을 다시 태어나도 그댈 사랑합니다는 진짜……👍👍👍아리랑 2절 후렴 3:20
885,  박정애,전내사람이   제일좋네요👍👍
886,  김은하,좋아요 ㅠㅠㅠㅠㅠ
887,  Kate Lee,11:57 원슈! 어쩔꺼야ㅠ. 너무 사랑스럽잖아  SG워너비 노래 다시들으니 너무 행복하네요
888,  mina hong,넌 좋은 사람 출근할 시간인데도 몇번이고 반복해서 듣고 있네요.. 세상에 소리쳐 너를 사랑한디는 그마아알~~~~ 이부분 진심 소름 ....♡♡♡♡
889,  zzang moon,가시리도 듣고싶다ㅜ.ㅜ
890,  썽,모든게 완벽했던 이 날
891,  정도훈,kcm 뱀춤 진짜 ㅋㅋ
892,  Youngs Park,내리는 종이 하트였네
893,  이승현,빰
894,  킹크랩,콘서트  준비해주세요
895,  이경은,요즘 코로나 물러가서 sg워너비 콘서트 가는 게 소원이예요!
896,  될대로되라,김치맨형님 열심히 하네ㅋㅋㅋㅋㅋㅋㅋ 좌우로
897,  진주원,💙💙
898,  민이 잼,꾸ㄹ잼
899,  완용 정,이날 보는내내 용준이 얼굴에 그림그린 메이컵 욕만 했는데. 도대체 왜~~~~~용준이 한테 왜그러냐구 ㅠㅠ. 그걸 가마니 보구만 있던 용준이도 화가난다. 누가 가마니 아니랄까봐. 이쁜 얼굴을 어떤ㄴ이 저랬냐구. 화난다 진짜
900,  행복가득,화나요. 정말 ㅜㅜ
901,  healingk,방송 자주 하면  나아지겠죠  난 왜 마냥 좋지ㅠ
902,  돌체콜드브루,헤어랑 메이크업 좀 할많할않 😔의상도 울 오빠 살 빼서  날씬한데 댄디하게 입으면 더 좋을텐데🤔🤔
903,  정지혜,21:25
904,  J🌻H,진호님 센스쟁이~~^^MSG워너비~사랑~~~해~~~~~~우우
905,  레이튼,용준이형 다래끼난줄...
906,  아서왕세이버,20:50 뭔가 웃기넹ㅋㅋ
907,  김동진,내사람때 MSG워너비 나와서 노래부르면서 한명씩 카메라에 잡힐때 목소리 잘들리게 편집한게 대박이네
908,  아기엄마,MBC는 사랑입니다~♡용주니 내꺼~♡
909,  Tyler ibnida,김치맨형님도 있는데 가시리해주지ㅠㅠ
910,  P ill,진호형 세상에 소리쳐 사랑한다는 그말~ 할때 소름이 쫘아아악
911,  난나야,귀 호강했어요~~~계속 활동해주시길~~
912,  silllver rain,후라이드 간장치킨  백숙같아요. (무대가 맛깔난다는 뜻
913,  쪼아용유진,오빠들마지막감동이네요  울컥할것같아요 sg워너비팬이라서행복해요  아프지마요 계속돌려보고있어요 msg워너비  활동비록끝났지만  본업돌아가도개인활동해주세요
914,  돌하르벙어리,형들은 김진호가 귀여운가봐ㅋㅋㅋㄱㄱ아기로보네
915,  다음팟수,kcm 이랑 가시리 한번 불러주지 ㅜㅜ
916,  E Sung,20:20 갓재정 화음무엇ㅜㅜㅜㅜ
917,  나이로비를위해,진호형 행복해보여서 너무 좋습니다 ㅠㅠ
918,  김문기,마지막에 다같이 부르는 거 너무 좋다ㅠ
919,  라니,김진호 대박~~sg워너비 대박 울컥합니다
920,  채현석,작곡에 조영수 작사에 안영민 노래 SG워너비 =무조건 히트
921,  데이드림,"김진호 프리롤, 습사 메시, 지림"
922,  여름시러,용준님 메이크업 진하게 하지마요 첨 놀뭐 나왔을때 곰돌이처럼 순둥한게 매력이라구요  눈썹 눈화장 무슨 129 헤메코 담당 싹 바꿔요
923,  권영순,김진호가수  최고다  매력덩어리와~우나이스
924,  성발드,진호 형님 진짜 행복해보인다 ㅋㅋㅋㅋㅋ
925,  이꼬르,뒤에 장구  치는 분들 한번 시선 뺏기니깐 계속 뻇기네....하...ㅋㅋㅋ
926,  전상대,KCM도 있는데 가시리 한 번 불러줬으면 좋았을텐데 아쉽네
927,  문학 여신,이석훈씨 목소리 정말 따뜻하고 편안하네요. 응원합니다!!!!!!!!!!
928,  C helen,16:28 용준 미성에 빠진 MSG워너비 이상이 재정 기석 흐뭇하게 바라보는 선배 창모....
929,  찌나아,13:08 우리의노래 이건 멜론에없나여??
930,  무미랑,있는데요
931,  옥돌,역쉬 그대들입니다.세 분 감사해요.SG워너비 나이스.행복하다.
932,  뭘석,12:30 아닠ㅋㅋㅋㅋㅋ
933,  푸름,20:14 뭔가 찡해서 눈물이 나는데왜 주문한 앨범은 오늘에 와서더 먹먹하게 하는거예요ㅠㅠ포카 너무 귀여워요특별한 핸드폰 그립도 좋구요김부가기가막혀도 누룽지도 맛있어요고맙습니다 msg워너비♡2집까지 존버.존버는?성공한다.
934,  노인치고여신,"화려하고 멋있는 명품으로 도배한 사람들보다, 겉모습도 노래도 화려한 요즘 아이돌들 보다 MSG워너비, SG워너비에 더 끌리는 이유를 생각해보니 우리가 원하는 건.. 그들이 노래로 들려주는 마음이었던 거 같다ㅠㅠ 온정.. 뭘 입고 뭘 하는 지가 중요한 게 아니라. 노래할 때의 마음, 듣는 사람도 느껴지는 진심ㅠ 그게 전해지니까 울림이 있는 거 같다. 그냥 그들이 불러준 노래를 듣기만 했는데 뭉클하고 행복해ㅠㅠ♡ 노래를 듣는 것 만으로도 행복을 느낄 수 있다는 걸 다시 한 번 알게 해준 고마운 사람들.. 당신들 너무 사랑해.. W0W~"
935,  서두봉,우리 학창시절 노래방가면 모두 소가 되었지그때가 그립지만 이 음악을 지금도 라이브로 들을 수 있는 것에 감사할따름🙏코로나여 얼른 종식되거라⭐
936,  라니.,악!!!!!!사랑해요!!!!!
937,  킼키kickkie,20:44 유느님 뭔가 이 모습을 보려고 지금껏 달려오신 기분ㅠㅠㅠ
938,  윤지호,12:28 이석훈혼자
939,  푸른하늘,서쿠니 자꾸 웃으니 너무 설레는데ㅠ외로운 유죄좌ㅋㅋㅋㅋㅋ 웃참 실패하고ㅋㅋㅋㅋㅋ 솔로무대ㅋㅋㅋ 감동과 재미가 함께 있는 방구석1열 레전드콘서트를 보았다 ❤❤❤
940,  JJ K,아침부터 영상보고 텐션올랐어요 기분이좋아지는 영상입니다
941,  서쿤서쿤,진짜 찐이다 👍 👍 👍 👍 👍 콘서트가서 라이브 듣는 날이 하루빨리 오길!!!!
942,  fleurbleue,"우리의노래 진짜 좋다,,"
943,  서윤 이,넌 좋은 사람은 이석훈 도입부에서 끝났다도입부 듣고 현실로 엄지 치켜올렸네
944,  정야호,우리의 노래 너무 좋다
945,  빈스어l비뉴,노래가 굉장해요~  우리 용준씨최고 !~ 김석훈 입모양이 야무지지못해 노래가 다 흘러내림
946,  조현민,지노 넘 귀여워~~
947,  때니얌,숨겨진 띵곡 우리의 노래.. 드디어 빛을 발하네요 ㅎㅎ 앞으로 라이브로 많이 들려주세요!
948,  59 1,MSG워너비 아쉬워요~ 또 보고 싶어요.SG워너비 최고예요👍👍진호님 귀여워요:)
949,  Suji Kim,김정민 표정 귀욥..
950,  리링띠,와 김진호 미쳤네~~~노래짱짱맨이네
951,  김군,광섭아 보고잇나? 우리들의 노래다
952,  못말리는SH,이석훈한테서 언제 헤어나갈수있죠...........
953,  김남호,이 영상 그대로 직캠으로 나오면 좋겠다..
954,  SweetSori,All 직캠 is uploaded on 놀면뭐하니 channel
955,  묻고 더블로 가,12:30 자기 놔두고 MSG워너비 쪽으로 간 멤버들 때문에빵 터진 이석훈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
956,  찌비,진짜 마지막 전체 엔딩 너무나무너무너무너무 멋있다 sg워너비 분들 너무 행복해보여요 진짜 잘 됐으면 좋겠어요 오디오 감독님 센스 굿!! 목소리 묻히니까 한 명 한 명 짧게 들려주는 게 너무 센스 굿!!!좋은 노래 감사합니다!!!!
957,  융융,저도 이거 진짜 편집 센스있게 잘햇다고 생각했어용😋
958,  찌비, @융융  😁
959,  이시정,8:32
960,  이시정,7:20
961,  최랑이,21:01 석훈이형 실화야? ㄷㄷ
962,  Cecilia Domingo,hope msg and sg wannabe could do a concert together
963,  Dlthflwl,18:26..❤️‍🔥
964,  박범준,닭살 정확히 6번 났음... 👍
965,  수정lee,진호님은 사랑받기 위해 태어난 사람  하나 하나 사랑받을 말만 하심 ~♡
966,  홍찬화,10:31 ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 양쪽귀에 해바라기 꽂고 무아지경 덩실덩실 아엠그라운드 우리 김치맨 창모형 내가 많이 좋아해요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보기만해도 기분좋아지는 사람=KCM
967,  서윗한셰퍼드,김진호님 이참에 복가도 나와서 장기가왕해주셨으면
968,  보아,이거 한영상 반복 재생 못해요??!
969,  이지혜,저도 같은생각 ㅜㅜ 반복재생없나요…
970,  hui su kim,참정말 노래 좋다이석훈 대단하고 김용준은 미치겠고가운데는 크으읔 할말이 없다
971,  나무뽑기,20:52 기석이 진호한테 고음 배틀 붙엇다가 바로 꼬리접는거 왤케 기엽노ㅋㅋㅋㅋㅋㅋㅋㅋ
972,  응이,3개월이 아니라 3년 아님?
973,  최민정,그게 아니라 전에 나왔던 놀뭐랑 이번에 나온 놀뭐가 3개월 차이 난다는 거
974,  응이, @최민정  아~확인!
975,  김시현,엄마 미안 나 불륜녀가 체질인가 봐ㅎ
976,  Kay Lee,찢고 울고 행복하고 다했다!!!!! 자막 멘트 공감 백퍼!
977,  고먐미들,21:06 상이... 진호 머리에 뭐 붙은거 ㄸㅔ어주는거바 진짜 🫀🔨
978,  뚠호,아리랑있는 앨범이 씹레전드 은도 불러주면 좋을텐데... 두 곡은 mp3에 넣어서 학교 갈 때마다 엄청 들었었는데 그냥 sg는 거를 앨범이 없네
979,  cob mar,은 좋은 수록곡이져 아는분이있네
980,  장근아,너무 노래잘하고 기분좋게해주는 SG워너비~~ 신곡내줘 고마워요^^그대들이 좋은사람~~♬♬ 우리 서쿤님은 또 절 꼬시네요^^ 넘어가지 모~~ 이번엔 우리딸도 넘어갔네요~^^♥♥
981,  여바람,달달하다.  이런 날이 오는구나.
982,  하이하이,17:57 여기 kcm이랑 sg워너비 멤버들 장난치는거.. 되게 웃긴 장면인데 왤케 슬프지ㅠㅠ둘다 동시대에 활동을 했던분들이고 내 학창 시절 거의 전부였던 사람들이어서 뭔가 좋으면서도 슬프다
983,  김민정,김진호는 가수가 되려고 태어난 사람… 소름이다진짜 김진호는 고딩때부터 이미 완전한 괴물보컬…평생 노래해줘ㅠㅠ
984,  문지혜,아니 진호님 넘 웃겨ㅠㅠ 예능 자주 나와주새요ㅠ
985,  장인의손길,지석진 신난거 봐라 ㅋㅋㅋㅋㅋ
986,  박성우,20:53 쌈디 sg워너비 랩+씽잉 한곡 내주시면 안되나요..??
987,  승환,7:19 이 부분 진짜 좋다
988,  임강대,김진호 노래부는거보면 노래에진짜 진심인거같아서 너무좋아
989,  슈슈슈,진짜 이석훈 유죄ㅠㅠㅠ
990,  Seo Young Lee,"인제 내사람에 유야호 없으면 허전하고, 해바라기에 석훈님의 외로운 크헝헝 없으면 허전하고..."
