,아이디,댓글 내용
991,  혜란이,석훈삼촌은 못본사이에 더 잘생겨지셨네요.. 정말 😭
992,  쨍후니,창모형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 사랑해옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
993,  고뤄취,18:25 죽어도 되나요
994,  니뉴니,극락
995,  자몽처돌이,코로롱 끝나고 하는 첫콘 이서쿤 앞 1열 나🙋‍♀️
996,  S OO,저도요 🙋‍♀️
997,  JY DoDo,우리의 노래 들으며 … 펑펑 울어요 ㅠ “…아무도 찾아주지 않던 불러주지 않던 나라는 노랠 다시 찾아내고 들어준 너에게 혼자가 아님을 노래할 거야 . 너의 하루와 너의 추억에 노래가 될 거야.”지치고 힘들어 포기하고 싶은 순간에도…혼자가 아니라고 … 노래해주셔서 감사해요 오늘도 저의 위로이자 힘이자 꿈인 SG 워너비!!! 사랑해요 :)
998,  정훈,1
999,  조민성,WOW
1000,  내 기록,뭐랄까 김진호 노래하는거 너무 행복해보여서마음이 너무 좋네 ..오랜시간동안을 비워낸다고 고생고많이하고마음도 많이 상해져잇엇을텐데 …저런모습 보고잇자니 내가다 좋네내 고등학교시절 전부였던 가수라서 더 뜻깊다 ㅠㅠ개쥬아
1001,  지안,곰돌이는 진짜 노래를 사랑하는거같아 ㅜㅜㅜ 보는내가 행복해 ㅜㅜㅜ
1002,  김석,너무 멋부리고 안불렀으면..김용준씨가 예전엔 몰랐는데 참 편안하게 표정지으며 담백하게 부르시는게 듣기도 보기도좋네요   윈래 노래 잘부르시는분들인데 너무 힘주고 부르니 제몸에 힘이 들어가고 제표정도 일그러지내요
1003,  aftermath3482,"Nice, nice, nice! 😁😁😁"
1004,  파란,우리 진호님 유느 쳐다보는 눈이 꿀이 뚝뚝 떨어집니다~유느만 보면 몸이 자연적으로 유야호로 향해 있어요~고맙습니다 ❤용준님 더 귀여워 지셨어요~ 석훈님 미소 뿜뿜 ~ 고맙습니다 에스지워너비님들 사랑합니다신곡 너무 좋아요♡♡ 💜💕❤😘😍♥너무 고맙습니다좋은 사람들과 함께 하면 이렇게 기분좋고 행복해 집니다에스지워너비님들 엠에스지 워너비 우리 워너비들 사랑합니다 💜우리 소금이들은 우리 모두의 워너비들의 팬입니다 응원합니다 유야호 사랑합니다 💜💕❤
1005,  짜장,너무좋은데 즉흥으로 kcm이랑 가시리 햇으면 더좋앗을거같아요~~ 정말 옛날 그때 시절이 생각나네요!!
1006,  in joo hwang,진호는 트로트의 나훈아...용준이는 ..자연스런 미성 ...
1007,  S L,해바라기 애드립 ㅠㅜ 마지막에 바꾼거도 왜이렇게 좋냐구요 엉엉ㅠㅜ
1008,  현상수,진햄 아리랑 2절 풀로 부른거 진짜 오랜만인듯...여전하네 실력
1009,  미랑 김,세명다. 최고입니다~~♡티브이에 자주나와주세요. 제발요~~
1010,  쟂쟂,20:19 뭐야 재정이가 화음 넣은 거야??? 뭐야므ㅓ야
1011,  SOOSEOK OH,이석훈이 노래 진짜 잘하네..
1012,  름이,김용준 좋다 좋아
1013,  J iapetus,김진호는 김진호가 장르다. 무대장인!
1014,  탱커킴,아니 창모형 테너 미친거 아니냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1015,  SweetSori,Kim Jin Ho always managed to leave such deep impression to everyone despite his lack of TV appearances! He's truly a legend! SG Wannabe as a whole group is also a legend! Nice! 👍 W☺️W!
1016,  구루,"다들 한번씩 김진호 솔로곡 한번씩 들어보세요 거의 직접 작사하셨는데 가사가 참 아름답다고할정도로 좋아요.참고로 저기서 넌좋은사람이랑 우리의 노래를 직접 작사했어요"
1017,  이경은,유퀴즈에 어머니 나온 거 보고 엄마 닮아 글 잘 쓰는구나 했어요~
1018,  구루, @이경은  진짜 시인같이쓰죠
1019,  leedaeyoon리대윤,셋 목소리 같이 들릴 때 여기가 천국이구나 하게 됨이석훈 목소리는 사람을 확 감겨들게 만들어서 듣고 또 듣고 싶어진다
1020,  Julia A,이석훈 햐얗다 못해 두부되겠네 고음은 또 어쩔
1021,  유젼,이석훈...왜 더 잘생겨졌지?목소리는 또 왜이렇게 좋아?웃는건 왜 이렇게 예뻐?내 가수님..평생 지켜주고 싶다...진심
1022,  Captain Sergio Ramos,석햄 진햄 마이 벗고 오니 허리쪽 옷 정리하라고 해주는 모습 서윗하셨는데 여기에는 안 나오네요 편집 돼서ㅜㅜ진햄 버전 아리랑👍🙏
1023,  초코우유김곰돌🐻(milkbear),20:48 야진짜너무행복하다ㅠㅠ 김진호행복해보이는게 눈에너무잘보이잖아ㅠㅠ20:54 1차전 쌈디vs김진호ㅋㅋㅋㅋㅋㅋㅋㅋㅋ김진호승👍🏻👍🏻👍🏻21:05 근데그와중에 이상이님...진호옵빠머리에 앉은거 떼어줫어ㅠㅠ자상해ㅠㅠ사랑합니다💓마지막김진호하트까지 완벽그자체다🙈🙈
1024,  김가현,18:25 또 또 끼부린다아리랑2:05 4:29넌 좋은 사람5:40 6:31 7:39 8:42해바라기9:39 10:10 11:12우리의 노래13:13 15:55내 사람18:17 19:08
1025,  쿠니___,유죄모먼트들~ ㄱㅅㄱㅅ
1026,  펭엣헴엣헴,"📢 김용준님 유투브: https://youtu.be/59gxl793M8k<타임라인>🎆 박재정님(슈퍼스타 우승자🏆) 찐팬 모먼트- 6:38 16:14 16:32 나 SG워너비 좋아했네❤- 15:30 활동도 하지않은 싱글앨범 수록곡을 같이 부르는 재정님 😃- 20:20 나는야 성덕이요🎤👬 7:15 형제라서 손동작도 같아요🙅‍♂️ 10:01 같은 아이엠그라운드, 다른 반응- 직캠 보세용~(진호님한텐 귀여워하고, 용준님한텐 질색해요🤭)😭 12:28 외로운 석훈님 (용준님: 열심히 율동하고 있었어~)🎙 16:25 음원에는 없는 용준님 고음🎉🕺 17:54 KCM 따라하는 용준🤗 20:54 쌈디 vs 진호 win"
1027,  임담비,"18:25 이석훈씌 결혼했으면서 ,,,,자꾸 끼부려.. 유죄.."
1028,  이덕형,우리의 노래 진짜 좋은데요
1029,  지언아,김진호… ㅠㅠ❤️❤️❤️
1030,  윤선생,20:31 물만난 김진호 압도적이다..
1031,  춘삼 김,김용준의 재발견미성 용준 고음 용준리더 용준넘 좋다 좋아
1032,  가올흴,4:29 이거 들으려고 온다… 진짜 너무 좋아서 뭐라고 표현해야할지도 모르겠다
1033,  S OO,난 또 이걸 몇번이나 보게 되려나... sg 워너비 마냥 행복하게 하는 사람들.. 서쿤 목소리는 보석이야
1034,  아무개,우리의 노래 진짜 개띵곡ㅜㅜㅜㅜ 같은 앨범에 있는 타이틀 '만나자'도 많관부!!!
1035,  김예원,Wow!!
1036,  beautifulzoo,김진호씨 노래 부를때 행복해 보여서 절로 미소가 지어지네요~♡
1037,  이잠자리무늬키플링가방,이름도잘생곃어 석훈
1038,  Kay Lee,"sg 워너비 위베어베어스 맞네!!! 감성충만 곰돌이 진호🐻, 미성장인 팬더 용준🐼, 스윗섹시 북극곰 석훈🐻‍❄️(올화이트 짱잘어울려 서쿠니)SG곰돌이들 사랑해!!!🥰"
1039,  could u buy me an🍦if u dont mind,죄와 벌을 대체 왜 안 부르느냐는 댓글이 많은데 사실 죄와 벌은 김진호 님 전성기 당시에도 라이브엔 한 키 낮췄는데도 불구하고 음이탈이나 플랫 등 실수가 잦을 수 밖에 없는 본인 한계음에 아슬아슬하게 걸쳐있는 Bb4가 밥 먹듯이 나오는 곡이었던 터라 그 때와는 여러가지 상황이 달라짐에 따라 대부분 G#4 안팎인 지금의 곡들에 비해 테너+미성+두성구 소리를 잘 사용할 줄 아셨던 채동하 님의 음역을 현재 이석훈 님도 커버가 불가능하고 결국 모든 중요 부분이 김용준 님 밖에는 소화가 안되는데 원곡을 기억하는 팬들에게 원하는만큼의 완성도 높은 구성이 불가능해졌다는 게 가장 큰 이유겠죠 본인들이 가장 잘 알고 있는데 부르지 않는 데에는 그만한 이유가 있기 마련이죠 근데 전 지금 이대로도 좋네요 많은 역경을 견뎌내고 아직 굳건하게 자리하고 있는 저 모습들이 그냥 행복해보여요
1040,  보담,19:06 이석훈에 치여서 계속 반복재생중이야..
1041,  하준서,아 kcm 엄청 웃기네 ㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎ
1042,  애기샤,"덕후 필터인지는 몰라도 02:24 막내는 잔망스럽게 지휘, 형들은 막내 발견하고 웃는게 너무 조타👏"
1043,  김혜숙,진호님 그동안 더멋져 지셨습니다
1044,  나의 라임 오지는나무,김진호 기여미ㅠㅠ❤️
1045,  니끼미나즈,와 마지막에 단체로 부르는거너무 좋다ㅜㅜㅜKCM은 그 와중에도 화음 넣네ㅎㄷㄷ
1046,  애영,이석훈 진짜 미친다 ㅠㅠㅜㅜㅜㅜ
1047,  ᄋ모모,워너비에서 김진호가 살린다 너무귀엽다
1048,  heon park,창모형이랑 가시리 불렀으면 레전드인데ㅠㅠ
1049,  2ᅡ이스토리,이석훈 목소리 긁는거 미치겠음 개좋다ㅠ퓨
1050,  2 5,10:23 killing point
1051,  김미란,"진호 끝까지 귀여웠다^^  용준이 살 빼느라고 얼마나 힘들었을까!! 행복한돼지도 좋던데~~!! 석훈이는 늘 한결같이~^^  사랑해요,  sg워너비 , ,60이되어도 가슴이 뛰네요♡♡♡"
1052,  언더테이커,12:30 최애구간ㅋㅋ
1053,  Bang Tong,"청와대 보고에 의하면 그 위대한 신께서  40년전에 , 친히 성령으로 역사하시어  전장군에게  작은책을 주시고 , 그를   지팡이로 이용하여 ,12살이하 그 지역인들의 대갈통을  있는힘껏  깨조져 버리신게 분명하다고 한다 °° 그 여호와께는 무기고를 털고 북한을 이롭게 한 죄를 물어 , 합법적으로 그 지역인들을 깨죽일수 있도록 , 역사하신거라   한다 ㅋㅋ   라도들아 , 니네 지역인들이, 지금 40년전 니들 부모들이  길가에 쏟아낸 그 더러운 피(ex 모유)를 ㅊㅕ 먹고, 권력을 잡은거니 , 그에 대한 합당한 대답을 내놔야 할꺼 아니냐 ♧ 그당시 강제로 동원되어 억지로 니들 에미에비들의 ㅂㄸ지를 뚫어 버린 그당시 젊은 공수들에게도 뭔가 대답을 해주야 될거 아니냐 , 그들도 지금 살아서  전부 방송 보고 있다니까 ㅋㅋ"
1054,  로비,18:26 왜 자꾸 끼 부리세욧!안 넘어갈 수가 없자나
1055,  K은경,석훈님의 미소와 목소리에 더 깊이 입덕합니다.답답한 코로나 칩거생활에  놀뭐의 sg편은  시원한 바람이 되어주었네요고마워요. 놀뭐팀.사랑해요. sg워너비 좋은 사람  석훈님
1056,  해피산타,15:38 심장이 다시 뛰기 시작했다.15:55
1057,  알럽찌니,18:29 끼부리는 이서쿤
1058,  우효 우효,아무도 찾아주지 않던~ 불러주지 않던~나라는 노랠 다시 찾아내고 들어준 너에게~
1059,  김기영,20:33 와…진호형 가창력과 성량은 진짜… 다른 사람 목소리에 절대 안 묻히네…..
1060,  강hyun,김진호는 매번 무대에 방송에 진심인듯. 나올때마다 웃음포인트에 임팩트있는 무대를 남기고가네. 노래에 자신감이 있어 여유와 감동을 주는 메보는 역시 메보~
1061,  이호준,진호형 무대를 진심으로 즐기는 모습이 보여서 너무 좋다.. 모두들 계속 노래해줬으면 좋겠어요!! SG워너비 13년 팬인데 요즘들어 가장 빛을 많이 보는거 같아서 너무 뿌듯한 1인입니다 😀😀
1062,  하은,18:25 내가 보려구 🥰
1063,  ᄒᄒ,보는것만으로도 듣는것만으로도 행복하게 해주셔서 감사해요♡ 유죄좌석훈님도 좋지만 역시 본업잘하는 서쿤님이 최고네요👍
1064,  가올흴,이석훈 ‘나는 천 번을 다시 태어나도’ 이 부분 진짜 너무 좋다.. 이거 들으려고 아리랑 듣는다고 해도 무방할 정도
1065,  JUNG스니커즈,외로운 유죄좌~♡ 왜이렇게 남자가 예쁘게 웃으시나요~^^ 이러니 반할 수 밖에~ 완전체일때 더 빛이 나는 유죄좌 이석훈!!!! 넌 좋은사람 이요
1066,  최준혁,아리랑 마지막 김진호 애드리브는 진짜 개지린다
1067,  ᄋᄋ,19:53 다 같이 부르는거 소름끼치고 너무 좋다 진짜 ㅠㅠ
1068,  SS ahn,우리의 노래 멜로디랑 가사가 너어무 좋다 16:35에 창모형 눈빛보면 찐임…..
1069,  수빈펜하러버,김진호의 유야호가 빠지면 섭섭하지 ㅋㅋㅋ
1070,  duple,진호 역동적 감동
1071,  늘푸른,이석훈....잘생겼다
1072,  김경현,2:09 하 줜나 예쁘네..
1073,  대다나다,김진호 진짜 말이 필요없다..너무좋음
1074,  RED BOMB Film,그... 재석쒸재석쒸 노래부를때 추임새 자제해주세여.....(안티아님 사랑합니다유재석
1075,  festina lente,우리의 영원한 보컬쌤 이석훈님!! 그런데도 계속 노력하시는 모습 너무 아름답습니다. 신곡 자주 내주세요 제발..
1076,  heeeee222able,"나 김진호 좋아하네,,"
1077,  자꾸만 석쿵해,행복을 퍼주는 사람들 ㅠㅠㅠㅠㅠㅠ 사랑해♡
1078,  김효빈,11:56 창모형 넘 이뻐요ㅠㅠㅠㅠ
1079,  윤다빈,KCM이랑 가시리 불렀음했는데 좀 아쉽다.. 하지만 넘 좋아ㅠ
1080,  김태양,8:31에 누가 옆에서 발로 밟았나 ㄹㅈㄷ네
1081,  가올흴,이석훈이 노래를 진짜 잘하긴 잘하는구나..
1082,  Y M,마지막에 슈타인 목소리 어디가쎀ㅋㅋㅋㅋㅋㅋㅋㅋ
1083,  강hyun,김진호는 실력도 실력인데 정말 노래를 사랑하고 즐길줄아는 진정한 무대장인~
1084,  김우찬,언제나 봐도 진호형 노래 부르는거 보면 눈물나 사랑해요 진호형❤️
1085,  수누,기침나무 없는게 아쉽다. 최애곡인데
1086,  Younghye Lee,감동포인트는 김진호고달달포인트는 이석훈인데심쿵포인트는.. 김용준♡
1087,  hyun_a,요고 기다렸어요! 놀뭐 관계자님 태호피디님 유야호님 천번을 다시태어나도 감사할꺼예요♡워너비 진짜 넌 좋은사람
1088,  자 감,복면가왕 안나와여? 진호형
1089,  SweetSori,He prefers to not appear on such show
1090,  자 감, @SweetSori  i know but many people want to join the mask man
1091,  강hyun,목소리가 지문이신분이라 첫소절만 들어도 온국민이 다 알거같은데요 ㅎ
1092,  자 감, @강hyun  이분 가왕하셔서 커버 곡 좀 듣고 싶어요
1093,  최선희,16:11 눈물버튼😢아무도 찾아주지 않던불러주지 않던나라는 노랠 다시 찾아내고 들어준 너에게혼자가 아님을 노래할거야너의 하루와 너의 추억에 노래가 될거야
1094,  b뺄,김진호님 노래는 진짜 듣는것도 부르는모습 보는것도 행복하게하는게 있는 것 같아요
1095,  남두두,뭐지?댓글 현실반응이랑  좀 ㅋㅋ인기댓이  sg영상마다 똑같네
1096,  융융,"2:22이부분 너무 좋다. 그냥 지나칠 수 있는 간주 부분인데.. 뒤에서 장구 치고 계시는 분들을 가리켜 주네. 본인이 온전히 누릴 수 있는 빛을 나누어 주는 저 마음은 아무나 가질 수 없는 것 같다. 가창 실력도 실력이지만, 한 인간으로써 배울 점이 참 많은 사람인듯."
1097,  박윤주,5:45 석훈오라방 비주얼 미쳤네😍
1098,  lil_lin,18:25내가 보려고 만든 유죄인간 이서쿤 잔망 포인트 💕이석훈 유죄암튼 유죄
1099,  쿠니___,여기 갇힘 ㅋㅋ
1100,  김민정,저도 여기 누워요 ♡♡♡
1101,  마들렌,12:22 ㅋㅋㅋㅋㅋ석훈 개인 무대ㅋㅋㅋㅋㅋ
1102,  유희영,진호잘생겨보여~~~^^
1103,  차여름,10:24 아 창모형 개겹네 ㅋㅋㅋㅋㅋ 아20:18 이 화음은 창모형인가 재정이형인가..? 야무지다 진짜
1104,  Kim Susan,김진호완전팬이에요~~~
1105,  이석훈유죄,8:47 이석훈 … 지켜주우우우울게 하면서 긁는거 너무 섹시하다고요… 진짜 나한테 왜그래
1106,  보라뚜비,뭔가 가시리 살짝 기대했는데 아쉽네요 그래도 노래 너무 좋다 ㅠㅠ
1107,  아름다운삐수니,김진호가 부른 바라만본다 내놔!!! 요~~~~
1108,  냥냥펀치,엄마 나 유부남 좋아하나봐....이석훈 진짜ㅜㅜㅜㅜㅜㅜㅜㅜㅜ
1109,  또뚜뚜뚜,전성기 때에는 나이스좌가 진짜 못났다고 생각했는데 지금 보니 제일 훤해보인다.
1110,  김으엌,8:48 아 사랑해
1111,  김민아,"이석훈.....,,,,유죄 ,,,,"
1112,  현아,진호님 관리 들어갔는지 많이 섹시함
1113,  김혜지,이석훈 꿀보이스ㅠㅠㅜ💜
1114,  드래곤준,8:54 이상이 배우님 표정 = 내표정
1115,  루랄라 룰,넌 좋은 사람 도입부 수십 번 반복 석훈이형 목소리 뺏고 싶네노래는 역시 고음이 다가 아닌 걸 다시 느낍니다
1116,  후후먹잇감이군,저도 가질 수 있다면 석훈님 목소리요
1117,  Jabop Yu,Kcm이랑 진호형 가시리한번만 불러쥐ㅠㅠ
1118,  yun H,12:29 이거 웃긴 부분이 아닌데 진호님 애드립으로 우주비행하시는게 왤케 웃기짘ㅋㅋㅋㅋㅋ 자막땜에 그런가..ㅋㅋ
1119,  김현,석훈형 콧구멍 밖에 안보이네
1120,  미진유,김진호 노래만 잘하는게 아니라 감동을 주고 행복을 주는 참 귀여운 사람
1121,  김선주,"이석훈,, 웃지마,, 하늘보면서 노래하지마,, 손 제스처 하지마,, 노래 하지마,, 내 심장 뒤흔들지마😭"
1122,  U Dear,떼창 속에서도 김진호 음색 압도적을 뚫고 나오네요 ㄷㄷ
1123,  ㅇㅅㅇ,김진호 진짜 구릿빛피부의 정석이다ㅠㅠ❤️
1124,  효은,이석훈......결혼했으니까 봐준다......
1125,  김승빈,"진호오빵 너무 귀엽고 잘생겼자나 ㅠ,ㅠ"
1126,  하루넌나의하루하루,이석훈 너무 좋아 미칠것같애
1127,  용JJ,19:00 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ창모형 덩실덩실ㅋㅋㅋㅋㅋ
1128,  Jinhwan Ahn,김진호는 대체불가다.. 한때 휩쓸었던 목소리에 가창력까지..
1129,  라벤더,석훈님 달달한 목소리 너무 좋아요세 분이 웃으면서 사이좋게 노래 부르는 모습도 좋아요
1130,  비모조아,"김진호 노래 부를 때 가장 행복한 남자,,"
1131,  나무무드,김진호 좋다구~~~~~~
1132,,진호는 고음장인이면서 웃기네
1133,  똘똘,"19:45 와,,쌈디행님 흐뭇한 미소로 끄덕끄덕 미쳣당.."
1134,  한영민맘짱,이석훈 목소리 너무 좋아요
1135,  사랑해지은아,"다들 너무 훈훈해,,,,, 석훈님 원픽이지만 워너비들 다 너무 훈훈 ㅠㅠㅠㅠ 다들 사랑해요❤️❤️❤️❤️❤️❤️❤️❤️❤️"
1136,  zz zz,please give me chinese....
1137,  문로렌,사랑해 김진호….
1138,  성민,"20:20 화음 머선니리고 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 재정쒸 재정쒸, 창모쒸 창모쒸"
1139,  yujin love,이서쿤오빠는 왜 목소리가 얼굴이랑 일치해요? 얼굴이 일케 생기면 목소리라도 최해준정도만 되줘야지.. 목소리 마저도 오빠 얼굴이랑 똑같이 잘생겼어요.. 세상에서 제일 잘생긴 목소리
1140,  모던modern,이석훈 언급 왜 없어... 여전히 존잘...여전히 미친 목소리...너무 당연해서 그런가
1141,  피즈치자,코 밑에 인중근육 부들거리는 게 이렇게 멋있을 일이냐고…. 이석훈 유죄
1142,  화염,김진호는 보면볼수록 햄찌같으심
1143,  제리도리,이석훈 유죄
1144,  김남궁,kcm행님 같이잇는김에 가시리 한번불러줫으면 좋앗을텐뎅 아쉽당
1145,  함희진,"16:13부분 우리의 노래에 '아무도 찾지않던, 불러주지 않던, 나라는 노래' 에 눈시울이 붉어지다가 마지막에 다같이 부르는 노래에 왜 울음이 터지는지 모르겠어요!! 제또래 친구들이 초등학교때 sg워너비 앨범도 사고 엠피쓰리애 넣어서 노래듣고 다녔는데 저는 빌려서 들었었고 유행이 뒤떨어진 편이라 하이라이트만 대충 알다가 점점 커 갈때쯔음 고등학교때부터 제대로 음악을 듣기 시작했답니다 그래도 요즘 모바일로 콘서트(?)며 라이브방송이며 하는것도 배워도 어려워서 유튜브로 보고있습니다.. 시대가 많이 뒤딸린(?) 팬의 하소연 이였으며 애늙은이가 엄청난 팬이기 때문에 언제가는 꼭 성공해서 콘서트 갈거에요 꼭 갈게요 김용준 김진호 채동하 이석훈 사랑합니다"
1146,  잔디잔디.,김준호 더욱 성숙해지고 멋짐 목소리에 영혼이 담겨있음
1147,  맹두,20:21 박재정…. 재정씨…
1148,  밤,내사람 이석훈 레전드다...이젠 대놓고 끼부리는데
1149,  경수가 보낸 팅커벨,이석훈 존나잘생겻다
1150,  쿠쿠루삥뽕,아리랑 이서쿤팀 버전 음원 내주면 좋겠다
1151,  파크헤이즈,김진호 진짜.. 보컬보물이다. 활동 많이 해주세요~~ ^^
1152,  하울,06:35 눈물나는 날에는 짱 좋네요.
1153,  너무이뻐,진호형 옆자리 남편자리  내자리♥♥♥용준횽 꺼두?ㅎㅎ 석훈햄은 결혼했으니 패스라고 하고싶은데  욕심나 ㅎㅎ
1154,  나는야호돌이,3:51 진호님 목 꺾는거때문에 석훈님 씩 웃으시는건강...ㅎㅎ
1155,  유희영,진호가얼굴도오바고노래도오바라서 뜬거지~~~~최고~~~~^^
1156,  하리보,김진호 너무 행복해 보인다... W😀W
1157,  스무리,하 이석훈 또 나 꼬시네
1158,  김민지,김진호 오빠 귀여웡 저런사람이랑결혼했으면💕
1159,  아이니,이석훈은 늙지를 않네. ..... 반칙이야.....잘생겼어
1160,  in joo hwang,이석훈은 노래 엄청잘하는 사람인데...턱으로 목소리를 꾸며요.
1161,  ㄱㄴㅇ,20:20 박재정 고음 극락좌표..
1162,  Mirror,목소리 유죄막냉이 쳐다보면 웃는 형들 유죄막내미 유죄착장 유죄라이브 인증 유죄잔망 미쳐버려 유죄헤헤 거리는거 귀여워서 유죄
1163,  한국축구의 발전,버즈도 불러줘
1164,  허진수,진호야5키로더빼라용준이는 마이늙었다.안경은 더 늙었고킹진호는 그냥 킹진호
1165,  조홍준,마지막 내사람때 확실히 진호 목소리가 모든 사람중에 튀네
1166,  호홀로롤로,나 김진호 좋아하네ㅠㅠㅠ
1167,  프락토올리고당,김용준 뺑소니만 아니었어도 진짜 완벽한 그룹인데. 자세를 고쳐 앉아도 볼때마다 불편하누
1168,  유젼,다 지난일 여기서 밝히는 이유가 뭔지 궁금합니다 ㅜ ㅜ죄값 다 치루고 잘 하고 있는 사람 그냥 둡시다.정말...
1169,  h c,이석훈드르와서  워너비  망햇다
1170,  최민정,?ㅋㅋㅋ  안망했는데용ㅋㅋㅋㅋ
1171,  루랄라 룰,????
